Name,Insurance Number,Reporting Date,Assets,Shares,Liabilities,Net Worth,Revenue,Dividends,Expenses,Net Income
Des Moines Water Works,63486,12/31/2009,1420743,1254347,4510,161886,85972,14488,70619,-9872
Des Moines Water Works,63486,12/31/2010,1456595,1284406,6431,165758,75249,10404,60973,3872
Des Moines Water Works,63486,12/31/2011,1420238,1247007,3750,169481,69147,8737,56687,3723
Des Moines Water Works,63486,12/31/2012,1536982,1355971,5438,175573,68852,7956,54803,6093
Des Moines Water Works,63486,12/31/2013,1605202,1424722,4980,175500,63729,8194,54609,926
Des Moines Water Works,63486,12/31/2014,1588379,1406131,5763,176485,59306,7556,50765,985
Des Moines Water Works,63486,12/31/2015,1576013,1390788,4479,180746,61039,7251,50727,3061
Des Moines Water Works,63486,12/31/2016,1539852,1350542,5426,183884,60346,7576,49632,3138
Des Moines Water Works,63486,12/31/2017,1491341,1308040,1232,180806,55154,5136,53097,-3079
Midwest Community,63494,12/31/2018,29636620,26736712,148896,2750363,1026856,38166,826879,161811
Midwest Community,63494,12/31/2005,18508728,16592382,72531,1843815,1023771,102518,837645,83608
Midwest Community,63494,12/31/2006,17980166,15929171,72120,1978875,1033878,106558,792260,135060
Midwest Community,63494,12/31/2007,17215631,15071883,92067,2051681,1081789,144906,857327,79556
Midwest Community,63494,12/31/2008,18557260,16609800,57132,1890328,962507,166130,953729,-157352
Midwest Community,63494,12/31/2009,19879659,17935413,61531,1882715,1029294,133719,774734,-7542
Midwest Community,63494,12/31/2010,20722646,18766498,54997,1882715,925517,86913,820168,18436
Midwest Community,63494,12/31/2011,21674003,19557870,104852,2011281,910328,66661,733538,110129
Midwest Community,63494,12/31/2012,23361931,21125929,173647,2062355,856647,57964,747610,51073
Midwest Community,63494,12/31/2013,23770068,21565843,67350,2136875,842341,35756,732065,74520
Midwest Community,63494,12/31/2014,25309986,23008172,78561,2223253,828022,32469,709174,86379
Midwest Community,63494,12/31/2015,27043946,24642738,84114,2317094,854673,30963,729869,93841
Midwest Community,63494,12/31/2016,28714999,26147262,148239,2419498,891437,33087,752231,106119
Midwest Community,63494,12/31/2017,30993994,28239370,165380,2588552,963286,34504,759728,169054
Linn Area,63602,12/31/2018,476161924,346533495,2589799,42108372,23994011,580964,16260489,3253480
Linn Area,63602,12/31/2005,133998281,106636171,14676021,12930453,10001819,1684720,6931260,1385839
Linn Area,63602,12/31/2006,149441365,119432188,15542965,14625303,11527197,2405143,7427205,1694849
Linn Area,63602,12/31/2007,154319250,120072450,17701632,16567113,13592105,3203374,8446918,1941813
Linn Area,63602,12/31/2008,178982759,143562630,16876844,18409059,14356179,3304677,9209556,1841946
Linn Area,63602,12/31/2009,223842031,196224206,7047564,20067194,15990639,3625227,9513977,1658136
Linn Area,63602,12/31/2010,244187143,219664480,2165914,22123104,15833064,3553163,10223993,2055908
Linn Area,63602,12/31/2011,284341170,258110116,2090498,22923865,15640498,3432769,11406966,800763
Linn Area,63602,12/31/2012,289100944,257512547,4907102,25533447,16840311,2957409,11273321,2609581
Linn Area,63602,12/31/2013,309735142,273167936,9646788,27957237,16797720,2615316,11758612,2423792
Linn Area,63602,12/31/2014,338709758,262948064,45505892,30290283,17427973,1993467,13101459,2333047
Linn Area,63602,12/31/2015,366047172,283971275,49549121,32862619,18432669,1912403,13947930,2572336
Linn Area,63602,12/31/2016,412515554,316469590,60935015,35488870,19609557,2129883,14853420,2626254
Linn Area,63602,12/31/2017,444978292,328493918,2669988,38854893,21766743,556424,15121575,3366023
Postal Employees,63667,12/31/2005,1413441,1224946,1539,186956,76582,11534,62946,2102
Postal Employees,63667,12/31/2006,1387237,1190521,2562,194154,82526,13573,60350,8603
Postal Employees,63667,12/31/2007,1455313,1251570,4603,199140,88699,17783,65930,4986
Postal Employees,63667,12/31/2008,1514934,1308559,5982,200393,80483,17642,61588,1253
Postal Employees,63667,12/31/2009,1775596,1570402,4814,200380,81740,15659,55049,-13
Postal Employees,63667,12/31/2010,1649016,1456395,1486,191135,61581,9451,63514,-11384
Postal Employees,63667,12/31/2011,1584819,1399604,185,185030,42771,3094,45780,-6103
EdCo Community,63758,12/31/2005,26617779,22154053,261818,4331971,1853539,199619,3512197,-1858277
EdCo Community,63758,12/31/2006,24581602,19878748,145390,4648211,1679061,219652,1143168,316241
EdCo Community,63758,12/31/2007,25101557,20052353,120682,4914494,1774721,317097,1191341,266283
EdCo Community,63758,12/31/2008,29266937,23987240,110631,5128293,1776780,369718,1193265,213797
EdCo Community,63758,12/31/2009,34180751,28830514,154543,5300639,1838494,374089,1218511,172347
EdCo Community,63758,12/31/2010,38019818,32611882,301845,5452018,1820106,350460,1318268,151378
EdCo Community,63758,12/31/2011,39431839,33142267,351210,5735946,1764545,255955,1224660,283930
EdCo Community,63758,12/31/2012,42104472,35758945,489425,5822772,1496101,224375,1184899,86827
EdCo Community,63758,12/31/2013,42148541,36728498,587304,6038801,1620164,165207,1238928,216029
Louden Depot Community,63855,12/31/2005,2522340,2133329,966,388045,191788,33799,143989,14000
Louden Depot Community,63855,12/31/2006,2461996,1971697,77254,413045,186748,34030,127718,25000
Louden Depot Community,63855,12/31/2007,2444865,2019658,162,425045,199818,49000,138818,12000
Louden Depot Community,63855,12/31/2008,2455753,1896036,125672,434045,192441,41200,142241,9000
Louden Depot Community,63855,12/31/2009,2599473,2155515,913,443045,198513,31000,139892,9000
Louden Depot Community,63855,12/31/2010,2846562,2381726,3041,461795,208324,31800,157763,18761
Louden Depot Community,63855,12/31/2011,3052157,2546784,3577,501796,251237,28000,183237,40000
Louden Depot Community,63855,12/31/2012,3835331,3285632,2878,546821,272569,29500,198043,45026
Louden Depot Community,63855,12/31/2013,5457839,4872647,2852,582340,319297,36300,247478,35519
KEM,63881,12/31/2005,939210,775762,2628,153939,56604,6062,62859,-12317
KEM,63881,12/31/2006,764077,601017,2305,154012,56039,4973,50993,73
KEM,63881,12/31/2007,739376,581269,2932,148432,47324,4224,48680,-5580
KEM,63881,12/31/2008,700993,542113,3093,149044,50826,4160,46054,612
KEM,63881,12/31/2009,675804,519070,14821,141913,53924,3985,62994,-13877
KEM,63881,12/31/2010,674334,507168,75381,91785,43283,1916,91996,-50629
KEM,63881,12/31/2011,595637,551616,1244,42777,48635,1359,98129,-50853
Lehigh Valley,63884,12/31/2005,2605423,2311374,-1466,295515,143044,51156,62741,29147
Lehigh Valley,63884,12/31/2006,2518179,2184650,-107,333636,166059,57970,70017,38072
Lehigh Valley,63884,12/31/2007,3330386,2952052,67,378267,186883,68371,73881,44631
Lehigh Valley,63884,12/31/2008,3635904,3239096,12699,384109,177225,103042,68343,5840
Lehigh Valley,63884,12/31/2009,3833532,3452538,-1259,382253,152743,82535,67187,-1855
Lehigh Valley,63884,12/31/2010,3785162,3366211,0,418951,149491,51546,66103,31842
Lehigh Valley,63884,12/31/2011,3825335,3395772,1023,428540,122206,45632,66984,9590
Lehigh Valley,63884,12/31/2012,4173381,3729582,975,442824,121652,41071,67667,12914
Lehigh Valley,63884,12/31/2013,4369997,3923398,733,445866,107209,34503,69663,3043
Lehigh Valley,63884,12/31/2014,4221608,3785349,239,436020,89631,25845,63176,610
River City Community,63938,12/31/2005,11391892,9954147,284893,1152852,889806,130300,761354,-1848
River City Community,63938,12/31/2006,10989960,9814346,47118,1128496,913454,216549,721262,-24357
MA Ford Employees,63945,12/31/2018,1698166,1502361,190,195615,49004,25042,14427,9535
MA Ford Employees,63945,12/31/2005,747207,616535,0,130672,47420,15089,24166,8165
MA Ford Employees,63945,12/31/2006,706484,565732,0,140752,51046,16085,24880,10081
MA Ford Employees,63945,12/31/2007,644490,492219,0,152271,52464,14452,26483,11529
MA Ford Employees,63945,12/31/2008,791406,627045,0,164361,49182,16157,20936,12089
MA Ford Employees,63945,12/31/2009,863495,697968,0,165527,43051,16088,24826,1165
MA Ford Employees,63945,12/31/2010,967465,800229,0,167236,38943,13528,23705,1710
MA Ford Employees,63945,12/31/2011,953219,776050,0,177169,53646,15285,28428,9933
MA Ford Employees,63945,12/31/2012,1210035,1025134,0,184901,57956,19552,30673,7731
MA Ford Employees,63945,12/31/2013,1366576,1169862,0,196714,66861,23298,31750,11813
MA Ford Employees,63945,12/31/2014,1437854,1231000,0,206854,62155,30368,21647,10140
MA Ford Employees,63945,12/31/2015,1504259,1291579,32,212648,57966,32036,20136,5794
MA Ford Employees,63945,12/31/2016,1689855,1474579,0,215276,54502,34242,17708,2552
MA Ford Employees,63945,12/31/2017,1592822,1406694,48,186080,46805,28367,48162,-29724
ETS,63982,12/31/2018,2413047,1941885,1145,470017,94581,25618,38378,30585
ETS,63982,12/31/2005,1480478,1285702,2866,191910,93873,48937,35850,9086
ETS,63982,12/31/2006,1659221,1455335,1095,202791,99150,56707,30620,11823
ETS,63982,12/31/2007,1545961,1334579,2431,208951,109218,61320,35074,12824
ETS,63982,12/31/2008,1944070,1732899,1965,209206,105822,42214,45411,18197
ETS,63982,12/31/2009,2212252,1985077,4696,222479,111435,32921,62638,13273
ETS,63982,12/31/2010,2414876,2171700,1888,241288,96203,24903,51672,19628
ETS,63982,12/31/2011,2138406,1875045,2891,260470,94576,12439,62915,19222
ETS,63982,12/31/2012,2224857,1941024,4204,279629,87388,21686,46491,19211
ETS,63982,12/31/2013,2437995,2119435,3832,314728,85707,19464,31145,35098
ETS,63982,12/31/2014,2434302,2085443,3444,345415,82684,18691,34363,29630
ETS,63982,12/31/2015,2473946,2092628,4041,377277,78810,18851,28097,31862
ETS,63982,12/31/2016,2701103,2292862,3343,404898,77773,20261,29835,27677
ETS,63982,12/31/2017,2841238,2404448,2337,434453,81810,22379,29874,29557
Iowa Community,64019,12/31/2005,51401764,40688573,5439954,5273237,3650938,695439,2634645,320854
Iowa Community,64019,12/31/2006,55659812,44564749,5521114,5573949,4248919,967016,2981191,300712
Iowa Community,64019,12/31/2007,63888397,51752414,5657995,6477988,4743171,1341898,3076273,325000
Iowa Community,64019,12/31/2008,70824547,54928979,9638176,6257392,4295171,1312808,3202959,-220596
Iowa Community,64019,12/31/2009,74713822,61076900,7289531,6347391,4742966,1140740,3067917,90000
Iowa Community,64019,12/31/2010,76618557,64547125,5558905,6512527,4191312,952168,3074008,165136
Iowa Community,64019,12/31/2011,77979763,65835691,5475545,6668527,4025408,745351,3124057,156000
Iowa Community,64019,12/31/2012,80850820,67840620,5626673,7383527,4668778,622582,3331196,715000
Iowa Community,64019,12/31/2013,78370822,65091539,5498224,7781059,4064720,490809,3176379,397532
The Municipal,64021,12/31/2018,17420635,15625807,39198,1752112,794982,68008,567115,159859
The Municipal,64021,12/31/2005,8835021,7887429,26307,921285,533393,67286,405156,60951
The Municipal,64021,12/31/2006,8427089,7392668,31264,1003157,597425,98628,416925,81872
The Municipal,64021,12/31/2007,9133387,8025024,35248,1073115,622021,131310,420755,69956
The Municipal,64021,12/31/2008,10337252,9169660,38037,1129555,572044,92845,422759,56440
The Municipal,64021,12/31/2009,10632190,9435165,38141,1158884,598525,63885,428150,29329
The Municipal,64021,12/31/2010,11401318,10169993,38788,1192537,546492,44588,468250,33654
The Municipal,64021,12/31/2011,12945011,11696092,31587,1217332,555145,52710,478138,24297
The Municipal,64021,12/31/2012,13494329,12232852,22460,1239017,500518,30790,446346,23382
The Municipal,64021,12/31/2013,14520240,13202500,30347,1287393,516493,18524,449593,48376
The Municipal,64021,12/31/2014,14964162,13600975,36019,1327168,550177,18788,491614,39775
The Municipal,64021,12/31/2015,16071033,14636127,13063,1421843,561928,18694,448559,94675
The Municipal,64021,12/31/2016,15947376,14418164,29583,1499629,589601,48290,463524,77787
The Municipal,64021,12/31/2017,17676701,16167612,-85344,1592253,665071,50430,521966,92623
Advantage,64030,12/31/2018,70097209,57526188,728810,11842211,3337169,283896,2195019,858254
Advantage,64030,12/31/2005,31490144,26345982,702200,4441962,1722548,313066,1240850,168632
Advantage,64030,12/31/2006,32342896,26837082,696595,4809219,2099629,388470,1343902,367257
Advantage,64030,12/31/2007,35016120,29078207,631439,5306474,2404600,469813,1437546,497241
Advantage,64030,12/31/2008,37221230,30998712,597894,5624624,2427155,497663,1611343,318149
Advantage,64030,12/31/2009,40391617,33603326,545399,6242892,2824212,426340,1680543,618270
Advantage,64030,12/31/2010,42532390,35262502,561929,6707959,2690640,374581,1850994,465065
Advantage,64030,12/31/2011,49224518,41372234,691606,7160678,2715429,383487,1879222,452720
Advantage,64030,12/31/2012,55576401,47052986,873775,7649640,2674532,345329,1840240,488963
Advantage,64030,12/31/2013,56888192,47953744,702192,8232256,2687250,207162,1897473,582615
Advantage,64030,12/31/2014,59098834,49313246,843522,8942066,2784579,193681,1881089,709809
Advantage,64030,12/31/2015,63872538,53150788,941732,9780018,2926603,197090,1891559,837954
Advantage,64030,12/31/2016,67151477,55858873,918566,10374038,2962746,234912,2133815,594019
Advantage,64030,12/31/2017,68623777,56834374,805447,10983956,3083925,236326,2237681,609918
Dupaco Community,64049,12/31/2018,1696414367,1341387999,4249179,264269029,101689577,5198593,65268569,23206406
Dupaco Community,64049,12/31/2005,384873738,306907814,31463547,48583377,27404918,6194796,17589826,3620296
Dupaco Community,64049,12/31/2006,432136767,352198672,28913212,52612883,32135190,9355584,18750100,4029506
Dupaco Community,64049,12/31/2007,475320651,392965268,24750815,58191568,37436819,12235048,20602501,4599270
Dupaco Community,64049,12/31/2008,543280142,441585260,39469834,61303048,40577446,10795491,26670475,3111480
Dupaco Community,64049,12/31/2009,778142796,662175961,40533555,72991573,49420793,13249346,24937261,11234186
Dupaco Community,64049,12/31/2010,905293048,789675972,23569413,84673158,53384160,14450911,29683366,9249883
Dupaco Community,64049,12/31/2011,975136780,846755193,15182627,101851455,60452844,11792069,31482478,17178297
Dupaco Community,64049,12/31/2012,1067663560,915919468,14986462,122907125,63896877,10273996,32567211,21055670
Dupaco Community,64049,12/31/2013,1123457400,980467034,4185744,144123117,64623859,9258035,34149831,21215993
Dupaco Community,64049,12/31/2014,1262445324,1068858090,11336819,175179982,71064941,8190606,38497646,24376689
Dupaco Community,64049,12/31/2015,1339209045,1113552586,26646588,198086034,74745666,8046614,43793000,22906052
Dupaco Community,64049,12/31/2016,1515034790,1219008588,81757850,216670515,80179206,9351178,52243547,18584481
Dupaco Community,64049,12/31/2017,1609367932,1283031444,6862565,241062623,90546940,4540692,54947644,24392108
Family Community,64067,12/31/2018,18373623,16011837,79482,2281284,635463,29201,565042,41220
Family Community,64067,12/31/2005,14139804,12378477,39612,1721715,777453,100010,592509,84934
Family Community,64067,12/31/2006,13533664,11619319,56442,1857903,839858,100943,602727,136188
Family Community,64067,12/31/2007,14982401,12891588,75972,2014841,896032,128092,611001,156939
Family Community,64067,12/31/2008,14782491,12680320,56174,2045997,895476,150444,713875,31157
Family Community,64067,12/31/2009,16170120,13958976,55015,2156129,860675,94913,636185,110132
Family Community,64067,12/31/2010,16975407,14742545,64281,2168581,728520,64735,651334,12451
Family Community,64067,12/31/2011,18330864,16060108,78744,2192012,675608,36698,615480,23430
Family Community,64067,12/31/2012,20047365,17749983,92399,2204983,649438,33568,602899,12971
Family Community,64067,12/31/2013,16425733,14339544,44771,2041418,558976,25990,696551,-163565
Family Community,64067,12/31/2014,16903201,14790521,50688,2061992,569932,24190,525168,20574
Family Community,64067,12/31/2015,17935859,15678266,59002,2198591,712407,25557,550252,136598
Family Community,64067,12/31/2016,18463238,16119616,74649,2268973,664040,27640,566016,70384
Family Community,64067,12/31/2017,18845989,16530736,74944,2240064,587627,28973,587565,-28911
Government Employees,64090,12/31/2005,4091714,3341802,8558,741354,220031,23611,171542,24878
Government Employees,64090,12/31/2006,3866359,3086984,14089,765286,238152,33734,180257,24161
Government Employees,64090,12/31/2007,3708513,2909353,8530,790630,244565,33264,185718,25583
Government Employees,64090,12/31/2008,3662015,2844507,8870,808638,233859,23626,191975,18258
Government Employees,64090,12/31/2009,3815830,3000503,8983,806344,229430,15827,191653,-2033
Government Employees,64090,12/31/2010,4215728,3415362,9588,790778,198146,10419,203021,-15294
Government Employees,64090,12/31/2011,4225477,3443971,11397,770109,189244,6831,202796,-20383
Frontier Community,64117,12/31/2005,10618810,8998675,259143,1360992,609064,150940,450157,7967
Frontier Community,64117,12/31/2006,10281253,8283407,561178,1436668,667795,170806,421312,75677
Frontier Community,64117,12/31/2007,10205789,8405194,260355,1540240,702485,176915,421999,103571
Frontier Community,64117,12/31/2008,11588086,9679900,285853,1622333,732123,194388,454767,82968
Frontier Community,64117,12/31/2009,15634320,13762354,153838,1718128,837934,188880,470889,95793
Frontier Community,64117,12/31/2010,14810154,12797324,154405,1858425,799007,145534,513177,140296
Frontier Community,64117,12/31/2011,16037748,13836188,191276,2010284,812359,108612,551888,151859
Frontier Community,64117,12/31/2012,18667140,16187123,193712,2286305,819121,76464,641308,101349
Frontier Community,64117,12/31/2013,19402400,16885223,210947,2306230,780138,58456,713819,7863
Frontier Community,64117,12/31/2014,19602627,17038521,223792,2340314,697731,40695,622952,34084
Frontier Community,64117,12/31/2015,18924513,16322025,247564,2354924,661455,34035,610655,16765
Peoples,64140,12/31/2018,52370478,44166511,229125,7930043,3064161,294475,2288218,481468
Peoples,64140,12/31/2005,14762892,11879803,67997,2815092,1010471,237511,620599,152361
Peoples,64140,12/31/2006,14062746,11004259,90949,2967538,1062335,242303,667586,152446
Peoples,64140,12/31/2007,15119943,11940309,101915,3077719,1101208,301549,689478,110181
Peoples,64140,12/31/2008,17003204,13740148,101406,3161650,1157679,343532,729416,84731
Peoples,64140,12/31/2009,18904579,15593713,73113,3237753,1219406,266793,762310,76103
Peoples,64140,12/31/2010,20458464,17105504,78723,3274237,1105113,234013,834615,36485
Peoples,64140,12/31/2011,20924338,17535580,85718,3303040,1068574,182213,856642,29719
Peoples,64140,12/31/2012,22272426,18814361,88559,3369506,1033452,114775,842154,76523
Peoples,64140,12/31/2013,24706553,21189882,133368,3383303,934219,90583,829834,13802
Peoples,64140,12/31/2014,24474750,20850494,155086,3469170,1093218,76150,931203,85865
Peoples,64140,12/31/2015,31001706,26686941,112275,4205186,1441803,89563,1044390,307850
Peoples,64140,12/31/2016,50141000,42797926,236994,7106080,2332094,142483,1715496,474115
Peoples,64140,12/31/2017,51594566,43920472,242632,7446133,2826069,190450,2416093,219493
North Iowa Community,64191,12/31/2018,77763293,64888905,749534,6926048,3828870,30433,3342983,168216
North Iowa Community,64191,12/31/2005,37078562,33213812,68716,3796034,2542444,663924,1530545,347975
North Iowa Community,64191,12/31/2006,39431617,35409808,67487,3954322,2676118,893543,1624288,158287
North Iowa Community,64191,12/31/2007,41866554,36036133,1561517,4268904,3001684,1123310,1643600,234774
North Iowa Community,64191,12/31/2008,40343024,35800199,86366,4456459,2989765,1030672,1771659,187434
North Iowa Community,64191,12/31/2009,47835800,42604029,123872,5107899,3554248,839030,2012669,651440
North Iowa Community,64191,12/31/2010,53693158,47895548,232244,5565366,3699396,772523,2469407,457466
North Iowa Community,64191,12/31/2011,60040130,53004185,939863,6096082,3894047,761847,2601485,530715
North Iowa Community,64191,12/31/2012,65751537,58254793,1039658,6457086,3847074,707749,2778319,361006
North Iowa Community,64191,12/31/2013,67421509,59763348,1201445,6461324,3510563,493714,3012611,4238
North Iowa Community,64191,12/31/2014,62765087,54958921,1255725,6550441,3405260,299927,3016215,89118
North Iowa Community,64191,12/31/2015,61646590,54147940,936992,6561658,3317153,211914,3094023,11216
North Iowa Community,64191,12/31/2016,63153795,54828053,1664084,6661658,3173967,137627,2912124,124216
North Iowa Community,64191,12/31/2017,68573430,60195203,1590394,6787833,3356752,21225,3084433,146175
Greater Iowa,64203,12/31/2018,456627727,390273853,5505646,39133236,24142722,2007909,19547797,2121463
Greater Iowa,64203,12/31/2005,194463944,143943713,28275634,22333438,13822114,2041789,14436472,-2656147
Greater Iowa,64203,12/31/2006,208285875,160439468,25442491,22435400,13622143,2886522,10633660,101961
Greater Iowa,64203,12/31/2007,212756411,164540274,24893485,23305209,14674129,3692167,10112153,869809
Greater Iowa,64203,12/31/2008,223232205,176028295,23738164,23510963,12581073,2717712,9657607,205754
Greater Iowa,64203,12/31/2009,244845673,196309449,23398646,25177949,15083559,2098551,11012434,1666987
Greater Iowa,64203,12/31/2010,259755033,210657078,23045330,26051018,14585904,1569197,12143638,873069
Greater Iowa,64203,12/31/2011,283839783,235441303,21092885,27236497,14257228,1502962,11568786,1185480
Greater Iowa,64203,12/31/2012,314396604,265960310,19430367,28864650,15433184,1420149,12384885,1628150
Greater Iowa,64203,12/31/2013,329349816,286878551,12730842,29960802,15573622,1377210,13105277,1091135
Greater Iowa,64203,12/31/2014,347425003,294884845,21303274,31119722,16892622,1187159,14546779,1158684
Greater Iowa,64203,12/31/2015,358748608,317193294,8395831,33504504,17692139,1129368,14177988,2384783
Greater Iowa,64203,12/31/2016,402500412,348304956,18350798,35423703,19656254,1366360,16370695,1919199
Greater Iowa,64203,12/31/2017,422355953,373825954,5140297,37011774,22302756,1735380,18815107,1588074
Meridian,64212,12/31/2018,26840271,22514766,25897,4336092,1032094,65853,837022,129219
Meridian,64212,12/31/2005,18661846,16291933,33319,2429605,944645,283186,584063,77396
Meridian,64212,12/31/2006,19604414,17031861,56039,2588202,996074,404066,433414,158594
Meridian,64212,12/31/2007,20844570,18148823,44644,2628508,1045582,535923,478687,30972
Meridian,64212,12/31/2008,23297227,20530773,48066,2710158,1266628,602277,570363,93988
Meridian,64212,12/31/2009,27504467,23555395,1183838,2750604,1306232,398864,706204,36836
Meridian,64212,12/31/2010,31052337,28126468,117123,2794186,1379357,339742,996033,43582
Meridian,64212,12/31/2011,31321727,28190861,44735,3047902,1390433,299484,837233,253716
Meridian,64212,12/31/2012,30912273,27432877,54584,3388285,1317949,178962,798604,340383
Meridian,64212,12/31/2013,29283488,25556202,47345,3665538,1150039,105727,767061,277251
Meridian,64212,12/31/2014,28609093,24656537,56160,3891836,1065099,88918,749882,226299
Meridian,64212,12/31/2015,29301262,25236631,52202,4034397,989063,79143,767358,142562
Meridian,64212,12/31/2016,28505032,24338372,48526,4151871,944672,70831,756367,117474
Meridian,64212,12/31/2017,28368077,24137492,46285,4206873,958128,66223,836903,55002
First Class Community,64231,12/31/2018,76788609,68313794,1667925,6896378,4082166,90583,3682617,308966
First Class,64231,12/31/2005,50021488,44915552,519663,4624293,4229470,427988,4220157,-418675
First Class,64231,12/31/2006,49687737,44071988,571826,5053319,4369759,489899,3450844,429016
First Class,64231,12/31/2007,49451728,43371283,534310,5521552,4394962,577614,3349105,468243
First Class,64231,12/31/2008,49160281,42730148,424255,5981467,4319052,374585,3484552,459915
First Class,64231,12/31/2009,56428808,50094342,453898,5880568,4610268,416764,3937030,-109860
First Class,64231,12/31/2010,53637856,47371079,802497,5464280,3639568,299060,3756796,-416288
First Class,64231,12/31/2011,58009929,51020752,1428496,5544405,3496950,232413,3184412,80125
First Class,64231,12/31/2012,63502264,56098288,1644781,5742273,3522228,228671,3095691,197866
First Class,64231,12/31/2013,65285596,58085925,1304780,5987809,3543921,187682,3110703,245536
First Class,64231,12/31/2014,65910404,59665728,40952,6250330,3649473,159009,3227943,262521
First Class Community,64231,12/31/2015,70804356,63434306,1095544,6316088,3726078,137735,3522583,65760
First Class Community,64231,12/31/2016,74382112,66594362,1590961,6421143,3581996,114185,3362756,105055
First Class Community,64231,12/31/2017,73793904,65878866,1551197,6587412,3732106,95460,3470378,166268
Lennox Employees,64234,12/31/2018,43889016,38324232,77663,5684726,1981669,138287,1832000,10594
Lennox Employees,64234,12/31/2005,26934338,22648928,42082,4243328,1500953,308101,912372,280480
Lennox Employees,64234,12/31/2006,25398075,20710571,71294,4616210,1615557,340506,902168,372883
Lennox Employees,64234,12/31/2007,28904562,23937323,88525,4878714,1783622,525004,996114,262504
Lennox Employees,64234,12/31/2008,28982089,23940707,69526,4971856,1716250,528877,1094231,93142
Lennox Employees,64234,12/31/2009,30965534,24892434,1067726,5008482,1638596,307851,1098289,33516
Lennox Employees,64234,12/31/2010,32448374,27280629,63693,5104052,1446726,235265,1112783,98678
Lennox Employees,64234,12/31/2011,33483441,28181319,54352,5247770,1483849,159468,1180664,143717
Lennox Employees,64234,12/31/2012,35494334,30044647,57077,5392610,1504241,141332,1218069,144840
Lennox Employees,64234,12/31/2013,35781720,30382442,96177,5303101,1336757,113382,1312883,-89508
Lennox Employees,64234,12/31/2014,36802937,31448265,84087,5270585,1265023,79675,1217864,-32516
Lennox Employees,64234,12/31/2015,37920112,32451674,64190,5404248,1482817,66658,1282496,133663
Lennox Employees,64234,12/31/2016,38726873,33136893,60462,5529518,1605450,70052,1410128,125270
Lennox Employees,64234,12/31/2017,40578284,34821278,78335,5674133,1761955,86931,1528571,144614
Des Moines Mercy,64238,12/31/2005,12120435,10034219,1015298,1070918,708773,63597,615750,29426
SECU,64269,12/31/2018,1972873,1259366,6738,506769,103362,5532,73858,23608
SECU,64269,12/31/2005,1878612,1537738,36330,304544,106647,12133,76501,18013
SECU,64269,12/31/2006,1395238,1024636,39710,330892,106973,10012,68719,28242
SECU,64269,12/31/2007,1373364,1013370,4521,355473,107312,13713,69016,24583
SECU,64269,12/31/2008,1429761,1013076,45603,371082,94278,12581,66090,15607
SECU,64269,12/31/2009,1534610,1114023,47424,373163,84542,9678,64194,2081
SECU,64269,12/31/2010,1586973,1161738,45930,379305,79665,8303,65224,6138
SECU,64269,12/31/2011,1715170,1279920,47914,387336,82786,6938,67814,8034
SECU,64269,12/31/2012,1854795,1401592,3507,449696,88946,7957,60554,20435
SECU,64269,12/31/2013,1894364,1428376,3771,462217,91801,8710,70567,12524
SECU,64269,12/31/2014,1986922,1511271,3401,472250,85561,8926,66603,10032
SECU,64269,12/31/2015,2121592,1649205,5729,466658,75115,9723,70983,-5591
SECU,64269,12/31/2016,2110880,1641678,4367,464835,74485,8328,67981,-1824
SECU,64269,12/31/2017,2101518,1613091,5266,483161,86063,6535,61202,18326
Premier,64271,12/31/2018,199448586,159764682,2391622,20669404,9815537,142810,6814617,1303939
Premier,64271,12/31/2005,57082153,49390336,1445516,6246301,4046056,520517,3172617,352922
Premier,64271,12/31/2006,58459072,50651224,1104007,6703841,4373852,888792,3027520,457540
Premier,64271,12/31/2007,61806593,53608982,918820,7278791,4909525,1283189,3051386,574950
Premier,64271,12/31/2008,66491855,57924734,991784,7575337,4757735,1252649,3208538,296548
Premier,64271,12/31/2009,82340487,72868841,1752155,7719491,4999319,1128945,3229057,144153
Premier,64271,12/31/2010,95398482,86273368,885902,8239212,5422066,926641,4178490,316935
Premier,64271,12/31/2011,97347244,87682225,1226337,8438682,5511090,752497,4599862,158731
Premier,64271,12/31/2012,102965555,90422415,2463873,10079267,5795751,449277,4639994,706480
Premier,64271,12/31/2013,111692963,98140963,2436075,11115925,5837166,431016,4628513,777637
Premier,64271,12/31/2014,125102692,104197102,8234444,12671146,6223960,420217,4464939,1338804
Premier,64271,12/31/2015,144863867,126482455,3580216,14801196,7109435,652190,4708169,1749076
Premier,64271,12/31/2016,173511678,152661525,3641111,17209042,8083038,956640,5122526,2003872
Premier,64271,12/31/2017,188680807,158597573,2435017,19275228,9136051,142352,6127520,1755290
North Western Employees,64282,12/31/2018,7145240,5565406,8317,1568215,391791,41070,275469,75252
North Western Employees,64282,12/31/2005,4607838,3755241,19684,832913,371116,88609,205150,77357
North Western Employees,64282,12/31/2006,4687790,3757781,22367,907642,382387,101650,206008,74729
North Western Employees,64282,12/31/2007,5007263,4003948,22445,980870,418370,134370,210772,73228
North Western Employees,64282,12/31/2008,5732190,4676105,22078,1034007,410543,134977,222429,53137
North Western Employees,64282,12/31/2009,6523055,5437723,16084,1069248,378197,110331,225548,35241
North Western Employees,64282,12/31/2010,6997753,5885857,19873,1092023,373100,95935,254390,22775
North Western Employees,64282,12/31/2011,7320281,6168188,18265,1133828,370048,75872,252371,41805
